area_code,area_name,indicator,period,measure,unit,value,group
E08000009,Trafford,Vehicles,2018-01-01,Frequency,Vehicles,359,Electric vehicles
E08000010,Wigan,Vehicles,2018-01-01,Frequency,Vehicles,281,Electric vehicles
E08000001,Bolton,Vehicles,2017-10-01,Frequency,Vehicles,183,Electric vehicles
E08000002,Bury,Vehicles,2017-10-01,Frequency,Vehicles,354,Electric vehicles
E08000003,Manchester,Vehicles,2017-10-01,Frequency,Vehicles,342,Electric vehicles
E08000004,Oldham,Vehicles,2017-10-01,Frequency,Vehicles,159,Electric vehicles
E08000005,Rochdale,Vehicles,2017-10-01,Frequency,Vehicles,176,Electric vehicles
E08000006,Salford,Vehicles,2017-10-01,Frequency,Vehicles,241,Electric vehicles
E08000007,Stockport,Vehicles,2017-10-01,Frequency,Vehicles,343,Electric vehicles
E08000008,Tameside,Vehicles,2017-10-01,Frequency,Vehicles,147,Electric vehicles
E08000009,Trafford,Vehicles,2017-10-01,Frequency,Vehicles,332,Electric vehicles
E08000010,Wigan,Vehicles,2017-10-01,Frequency,Vehicles,256,Electric vehicles
E08000001,Bolton,Vehicles,2017-07-01,Frequency,Vehicles,176,Electric vehicles
E08000002,Bury,Vehicles,2017-07-01,Frequency,Vehicles,330,Electric vehicles
E08000003,Manchester,Vehicles,2017-07-01,Frequency,Vehicles,295,Electric vehicles
E08000004,Oldham,Vehicles,2017-07-01,Frequency,Vehicles,149,Electric vehicles
E08000005,Rochdale,Vehicles,2017-07-01,Frequency,Vehicles,169,Electric vehicles
E08000006,Salford,Vehicles,2017-07-01,Frequency,Vehicles,235,Electric vehicles
E08000007,Stockport,Vehicles,2017-07-01,Frequency,Vehicles,328,Electric vehicles
E08000008,Tameside,Vehicles,2017-07-01,Frequency,Vehicles,137,Electric vehicles
E08000009,Trafford,Vehicles,2017-07-01,Frequency,Vehicles,310,Electric vehicles
E08000010,Wigan,Vehicles,2017-07-01,Frequency,Vehicles,243,Electric vehicles
E08000001,Bolton,Vehicles,2017-04-01,Frequency,Vehicles,163,Electric vehicles
E08000002,Bury,Vehicles,2017-04-01,Frequency,Vehicles,257,Electric vehicles
E08000003,Manchester,Vehicles,2017-04-01,Frequency,Vehicles,270,Electric vehicles
E08000004,Oldham,Vehicles,2017-04-01,Frequency,Vehicles,145,Electric vehicles
E08000005,Rochdale,Vehicles,2017-04-01,Frequency,Vehicles,149,Electric vehicles
E08000006,Salford,Vehicles,2017-04-01,Frequency,Vehicles,231,Electric vehicles
E08000007,Stockport,Vehicles,2017-04-01,Frequency,Vehicles,282,Electric vehicles
E08000008,Tameside,Vehicles,2017-04-01,Frequency,Vehicles,115,Electric vehicles
E08000009,Trafford,Vehicles,2017-04-01,Frequency,Vehicles,273,Electric vehicles
E08000010,Wigan,Vehicles,2017-04-01,Frequency,Vehicles,221,Electric vehicles
E08000001,Bolton,Vehicles,2017-01-01,Frequency,Vehicles,158,Electric vehicles
E08000002,Bury,Vehicles,2017-01-01,Frequency,Vehicles,244,Electric vehicles
E08000003,Manchester,Vehicles,2017-01-01,Frequency,Vehicles,255,Electric vehicles
E08000004,Oldham,Vehicles,2017-01-01,Frequency,Vehicles,140,Electric vehicles
E08000005,Rochdale,Vehicles,2017-01-01,Frequency,Vehicles,131,Electric vehicles
E08000006,Salford,Vehicles,2017-01-01,Frequency,Vehicles,224,Electric vehicles
E08000007,Stockport,Vehicles,2017-01-01,Frequency,Vehicles,247,Electric vehicles
E08000008,Tameside,Vehicles,2017-01-01,Frequency,Vehicles,105,Electric vehicles
E08000009,Trafford,Vehicles,2017-01-01,Frequency,Vehicles,245,Electric vehicles
E08000010,Wigan,Vehicles,2017-01-01,Frequency,Vehicles,208,Electric vehicles
E08000001,Bolton,Vehicles,2016-10-01,Frequency,Vehicles,144,Electric vehicles
E08000002,Bury,Vehicles,2016-10-01,Frequency,Vehicles,194,Electric vehicles
E08000003,Manchester,Vehicles,2016-10-01,Frequency,Vehicles,231,Electric vehicles
E08000004,Oldham,Vehicles,2016-10-01,Frequency,Vehicles,135,Electric vehicles
E08000005,Rochdale,Vehicles,2016-10-01,Frequency,Vehicles,118,Electric vehicles
E08000006,Salford,Vehicles,2016-10-01,Frequency,Vehicles,206,Electric vehicles
E08000007,Stockport,Vehicles,2016-10-01,Frequency,Vehicles,221,Electric vehicles
E08000008,Tameside,Vehicles,2016-10-01,Frequency,Vehicles,95,Electric vehicles
E08000009,Trafford,Vehicles,2016-10-01,Frequency,Vehicles,209,Electric vehicles
E08000010,Wigan,Vehicles,2016-10-01,Frequency,Vehicles,178,Electric vehicles
E08000001,Bolton,Vehicles,2016-07-01,Frequency,Vehicles,134,Electric vehicles
E08000002,Bury,Vehicles,2016-07-01,Frequency,Vehicles,186,Electric vehicles
E08000003,Manchester,Vehicles,2016-07-01,Frequency,Vehicles,229,Electric vehicles
E08000004,Oldham,Vehicles,2016-07-01,Frequency,Vehicles,131,Electric vehicles
E08000005,Rochdale,Vehicles,2016-07-01,Frequency,Vehicles,113,Electric vehicles
E08000006,Salford,Vehicles,2016-07-01,Frequency,Vehicles,202,Electric vehicles
E08000007,Stockport,Vehicles,2016-07-01,Frequency,Vehicles,203,Electric vehicles
E08000008,Tameside,Vehicles,2016-07-01,Frequency,Vehicles,89,Electric vehicles
E08000009,Trafford,Vehicles,2016-07-01,Frequency,Vehicles,192,Electric vehicles
E08000010,Wigan,Vehicles,2016-07-01,Frequency,Vehicles,167,Electric vehicles
E08000001,Bolton,Vehicles,2016-04-01,Frequency,Vehicles,124,Electric vehicles
E08000002,Bury,Vehicles,2016-04-01,Frequency,Vehicles,208,Electric vehicles
E08000003,Manchester,Vehicles,2016-04-01,Frequency,Vehicles,208,Electric vehicles
E08000004,Oldham,Vehicles,2016-04-01,Frequency,Vehicles,132,Electric vehicles
E08000005,Rochdale,Vehicles,2016-04-01,Frequency,Vehicles,102,Electric vehicles
E08000006,Salford,Vehicles,2016-04-01,Frequency,Vehicles,195,Electric vehicles
E08000007,Stockport,Vehicles,2016-04-01,Frequency,Vehicles,178,Electric vehicles
E08000008,Tameside,Vehicles,2016-04-01,Frequency,Vehicles,86,Electric vehicles
E08000009,Trafford,Vehicles,2016-04-01,Frequency,Vehicles,209,Electric vehicles
E08000010,Wigan,Vehicles,2016-04-01,Frequency,Vehicles,162,Electric vehicles
E08000001,Bolton,Vehicles,2016-01-01,Frequency,Vehicles,120,Electric vehicles
E08000002,Bury,Vehicles,2016-01-01,Frequency,Vehicles,255,Electric vehicles
E08000003,Manchester,Vehicles,2016-01-01,Frequency,Vehicles,164,Electric vehicles
E08000004,Oldham,Vehicles,2016-01-01,Frequency,Vehicles,128,Electric vehicles
E08000005,Rochdale,Vehicles,2016-01-01,Frequency,Vehicles,90,Electric vehicles
E08000006,Salford,Vehicles,2016-01-01,Frequency,Vehicles,186,Electric vehicles
E08000007,Stockport,Vehicles,2016-01-01,Frequency,Vehicles,170,Electric vehicles
E08000008,Tameside,Vehicles,2016-01-01,Frequency,Vehicles,77,Electric vehicles
E08000009,Trafford,Vehicles,2016-01-01,Frequency,Vehicles,183,Electric vehicles
E08000010,Wigan,Vehicles,2016-01-01,Frequency,Vehicles,150,Electric vehicles
E08000001,Bolton,Vehicles,2015-10-01,Frequency,Vehicles,102,Electric vehicles
E08000002,Bury,Vehicles,2015-10-01,Frequency,Vehicles,238,Electric vehicles
E08000003,Manchester,Vehicles,2015-10-01,Frequency,Vehicles,139,Electric vehicles
E08000004,Oldham,Vehicles,2015-10-01,Frequency,Vehicles,122,Electric vehicles
