area_code,area_name,period,value,indicator,measure,unit,group
E23000005,Greater Manchester,2011/12,12.174656562882607,Offence rate,"Rate per 1,000",Offences,Violence against the person
E92000001,England,2011/12,0.94072365778098632,Offence rate,"Rate per 1,000",Offences,Sexual offences
E23000005,Greater Manchester,2011/12,0.98954069758486707,Offence rate,"Rate per 1,000",Offences,Sexual offences
E92000001,England,2011/12,1.3918994502763664,Offence rate,"Rate per 1,000",Offences,Robbery
E23000005,Greater Manchester,2011/12,1.5774796466054886,Offence rate,"Rate per 1,000",Offences,Robbery
E92000001,England,2011/12,37.129900408134482,Offence rate,"Rate per 1,000",Offences,Theft offences
E23000005,Greater Manchester,2011/12,39.917485680023709,Offence rate,"Rate per 1,000",Offences,Theft offences
E92000001,England,2011/12,11.106245582937513,Offence rate,"Rate per 1,000",Offences,Criminal damage and arson
E23000005,Greater Manchester,2011/12,13.272768734120483,Offence rate,"Rate per 1,000",Offences,Criminal damage and arson
E92000001,England,2011/12,7.8017072609003852,Offence rate,"Rate per 1,000",Offences,Other crimes against society
E23000005,Greater Manchester,2011/12,8.8491386224797051,Offence rate,"Rate per 1,000",Offences,Other crimes against society
E92000001,England,2012/13,62.652934860828303,Offence rate,"Rate per 1,000",Offences,Total recorded crime
E23000005,Greater Manchester,2012/13,67.176934712551571,Offence rate,"Rate per 1,000",Offences,Total recorded crime
E92000001,England,2012/13,10.618265115958261,Offence rate,"Rate per 1,000",Offences,Violence against the person
E23000005,Greater Manchester,2012/13,10.823397455710278,Offence rate,"Rate per 1,000",Offences,Violence against the person
E92000001,England,2012/13,0.94309301254600864,Offence rate,"Rate per 1,000",Offences,Sexual offences
E23000005,Greater Manchester,2012/13,1.0322538361337998,Offence rate,"Rate per 1,000",Offences,Sexual offences
E92000001,England,2012/13,1.2030014252877987,Offence rate,"Rate per 1,000",Offences,Robbery
E23000005,Greater Manchester,2012/13,1.4794893546030254,Offence rate,"Rate per 1,000",Offences,Robbery
E92000001,England,2012/13,33.676507968255663,Offence rate,"Rate per 1,000",Offences,Theft offences
E23000005,Greater Manchester,2012/13,35.778469091594282,Offence rate,"Rate per 1,000",Offences,Theft offences
E92000001,England,2012/13,9.2947714836767137,Offence rate,"Rate per 1,000",Offences,Criminal damage and arson
